Request,Profession
need washing foam or gel ,medical
need surgical shunts,medical
need chest drains,medical
need surgical lubricants,medical
want cervical fusion kits,medical
want surgical clips,medical
want syringe aspirators,medical
want limb prosthetic devices,medical
want ear wax removers,medical
want speculums,medical
sir i want help in Calculus.,teacher
I do not understand some concepts in Chemistry ,teacher
please help me in computer programming,teacher
can you help me regarding a concept of  Economics.,teacher
,teacher
I want to understand some concepts of Physics,teacher
please help me in solving Linear Algebra and Ordinary Differential Equations.,teacher
what is Modern Physics?,teacher
anyone can tell me about Data Analysis and Interpretation,teacher
what are Abstractions and Paradigms in Programming?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,teacher
I want help in Numerical Analysis ,teacher
what is Environmental Management in Environmental  Studies ,teacher
what are Abstractions and Paradigms in Programming,teacher
anyone tell me  some topics of Engineering Graphics and Drawing.,teacher
tell me differnce between Electrical and Electronic Circuits,teacher
what are Discrete Structures,teacher
give me brief introduction about Data Structures and Algorithms,teacher
what do you mean by automata in Automata Theory and Logic,teacher
I want help in Design and Analysis of Algorithms,teacher
what do you mean by Logic Design,teacher
Literature/Philosophy/Psychology/Sociology,teacher
what topics we will study in Computer Architecture,teacher
 different types of Operating Systems,teacher
how to create database using command in Database and Information Systems.,teacher
Database and Information Systems Lab,teacher
what is Artificial Intelligence      ,teacher
different Programming Languages,teacher
I need help in Computer Networks,teacher
